ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,equityOnTotalAsset,equityOnLiability,epsChange,bookValuePerShareChange
BPC,4,2018,9.2,0.5,0.056,0.024,1487,25892.0,0.45,0.8,-0.308,0.016
BPC,3,2018,6.0,0.5,0.084,0.032,2151,25494.0,0.385,0.6,-0.278,0.006
BPC,2,2018,5.2,0.6,0.118,0.045,2979,25346.0,0.387,0.6,-0.056,-0.079
BPC,1,2018,4.4,0.5,0.116,0.05,3157,27528.0,0.442,0.8,-0.147,0.016
BPC,4,2017,3.6,0.5,0.139,0.06,3702,27098.0,0.408,0.7,0.011,0.041
BPC,3,2017,3.3,0.5,0.143,0.059,3661,26036.0,0.386,0.6,-0.018,0.038
BPC,2,2017,3.1,0.5,0.151,0.061,3727,25074.0,0.379,0.6,-0.177,-0.073
BPC,1,2017,2.9,0.5,0.175,0.078,4529,27046.0,0.423,0.7,-0.006,0.032
BPC,4,2016,2.7,0.5,0.182,0.087,4558,26199.0,0.465,0.9,0.019,0.041
BPC,3,2016,3.2,0.6,0.186,0.085,4474,25178.0,0.443,0.8,0.144,0.043
BPC,2,2016,3.8,0.6,0.168,0.074,3911,24136.0,0.428,0.7,0.183,-0.025
BPC,1,2016,2.5,0.3,0.137,0.067,3305,24760.0,0.468,0.9,0.195,0.041
BPC,4,2015,2.8,0.3,0.118,0.059,2765,23778.0,0.486,0.9,0.071,0.041
BPC,3,2015,3.0,0.3,0.115,0.054,2581,22842.0,0.468,0.9,0.121,0.021
BPC,2,2015,3.4,0.4,0.104,0.048,2303,22363.0,0.459,0.8,0.058,-0.046
BPC,1,2015,3.9,0.4,0.098,0.046,2176,23451.0,0.507,1.0,-0.009,0.019
BPC,4,2014,,,0.097,0.047,2196,23012.0,0.517,1.1,0.215,0.041
BPC,3,2014,,,0.082,0.039,1807,22100.0,0.476,0.9,-0.145,0.002
BPC,2,2014,,,0.097,0.045,2115,22065.0,0.473,0.9,0.124,0.045
BPC,1,2014,,,0.09,0.039,1880,21118.0,0.431,0.8,-0.083,-0.058
BPC,4,2013,,,0.093,0.044,2050,22429.0,0.466,0.9,-0.151,0.025
BPC,3,2013,,,0.112,0.054,2415,21891.0,0.479,0.9,0.014,0.024
BPC,2,2013,,,0.113,0.051,2380,21384.0,0.461,0.9,0.017,0.027
BPC,1,2013,,,0.114,0.052,2340,20816.0,0.448,0.8,-0.003,-0.047
BRC,3,2022,7.5,0.7,0.095,0.061,1591,16764.0,0.641,1.8,0.176,0.04
BRC,2,2022,9.0,0.8,0.083,0.056,1353,16122.0,0.659,1.9,-0.18,-0.077
BRC,1,2022,9.4,0.9,0.095,0.07,1650,17460.0,0.748,3.0,-0.046,0.023
BRC,4,2021,8.9,0.9,0.102,0.071,1730,17071.0,0.679,2.1,-0.048,0.019
BRC,3,2021,7.8,0.9,0.109,0.074,1817,16755.0,0.649,1.9,-0.019,0.025
BRC,2,2021,6.2,0.7,0.115,0.079,1853,16351.0,0.677,2.1,0.036,-0.046
BRC,1,2021,6.6,0.7,0.108,0.079,1788,17145.0,0.714,2.5,0.049,0.027
BRC,4,2020,5.9,0.6,0.103,0.075,1705,16698.0,0.705,2.4,0.036,0.015
BRC,3,2020,5.5,0.5,0.101,0.072,1645,16457.0,0.714,2.5,0.033,0.028
BRC,2,2020,5.8,0.6,0.1,0.069,1593,16017.0,0.711,2.5,-0.002,0.012
BRC,1,2020,5.6,0.6,0.099,0.075,1596,15834.0,0.744,2.9,0.003,-0.039
BRC,4,2019,6.0,0.6,0.098,0.074,1592,16482.0,0.758,3.1,0.011,0.021
BRC,3,2019,5.5,0.5,0.099,0.073,1574,16138.0,0.708,2.4,0.007,0.025
BRC,2,2019,5.7,0.6,0.1,0.071,1564,15751.0,0.675,2.1,0.146,-0.044
BRC,1,2019,5.5,0.5,0.084,0.065,1365,16470.0,0.765,3.3,0.0,0.023
BRC,4,2018,5.1,0.4,0.086,0.065,1365,16105.0,0.747,3.0,0.022,0.021
BRC,3,2018,5.6,0.5,0.085,0.065,1336,15779.0,0.779,3.5,0.071,0.025
BRC,2,2018,5.3,0.4,0.081,0.059,1246,15402.0,0.752,3.0,0.044,-0.049
BRC,1,2018,5.8,0.4,0.074,0.056,1194,16187.0,0.795,3.9,-0.006,0.025
BRC,4,2017,5.6,0.4,0.076,0.056,1202,15796.0,0.763,3.2,-0.301,0.019
BRC,3,2017,4.5,0.5,0.111,0.08,1719,15495.0,0.745,2.9,0.072,0.019
BRC,2,2017,4.6,0.5,0.106,0.07,1604,15207.0,0.691,2.2,-0.099,-0.052
BRC,1,2017,4.0,0.4,0.112,0.079,1780,16046.0,0.717,2.5,-0.037,0.02
BRC,4,2016,3.6,0.4,0.119,0.082,1849,15724.0,0.711,2.5,0.451,0.023
BRC,3,2016,6.0,0.5,0.083,0.056,1274,15364.0,0.689,2.2,-0.117,0.011
BRC,2,2016,4.2,0.4,0.096,0.061,1443,15191.0,0.63,1.7,0.033,-0.041
BRC,1,2016,3.9,0.3,0.09,0.061,1397,15836.0,0.699,2.3,0.191,0.027
BRC,4,2015,5.1,0.4,0.077,0.051,1172,15420.0,0.676,2.1,-0.032,0.016
BRC,3,2015,4.4,0.4,0.081,0.051,1212,15179.0,0.654,1.9,-0.024,0.023
BRC,2,2015,4.4,0.4,0.085,0.052,1241,14837.0,0.641,1.8,0.074,-0.033
BRC,1,2015,4.7,0.4,0.077,0.049,1155,15348.0,0.665,2.0,-0.105,0.017
BRC,4,2014,,,0.088,0.055,1291,15094.0,0.639,1.8,0.01,0.019
BRC,3,2014,,,0.099,0.06,1278,14811.0,0.608,1.6,0.228,0.026
BRC,2,2014,,,0.083,0.051,1040,14439.0,0.59,1.4,0.068,-0.01
BRC,1,2014,,,0.075,0.048,974,14588.0,0.603,1.5,0.128,0.023
BRC,4,2013,,,0.068,0.041,864,14256.0,0.607,1.5,-0.223,0.305
