organCode,ticker,comGroupCode,icbCode,organTypeCode,comTypeCode,organName,organShortName,exchange,shortName,industryID,industryIDv2,industry,industryEn,establishedYear,noEmployees,noShareholders,foreignPercent,website,stockRating,deltaInWeek,deltaInMonth,deltaInYear,outstandingShare,issueShare,companyType,status,code,message,traceId
DSN,DSN,VNINDEX,5755,DN,CT,Công ty Cổ phần Công viên nước Đầm Sen,Công viên nước Đầm Sen,HOSE,Công viên nước Đầm Sen,260,5755,Du lịch và Giải trí,Travel & Leisure,2003,153,339,0.231,http://www.damsenwaterpark.com.vn,4.1,-0.015,-0.065,0.439,12.1,12.1,CT,,,,
DST,DST,HNXIndex,5557,DN,CT,Công ty Cổ phần Đầu tư Sao Thăng Long,Đầu tư Sao Thăng Long,HNX,Đầu tư Sao Thăng Long,256,5557,Truyền thông,Media,2005,6,2480,0.001,http://www.saothanglong.vn,4,0.112,0.175,-0.297,32.2,32.3,CT,,,,
DSV,DSV,UpcomIndex,2775,DN,CT,Công ty Cổ phần Đường sắt Vĩnh Phú,Đường sắt Vĩnh Phú,UPCOM,Đường sắt Vĩnh Phú,192,2775,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010,456,161,0,http://www.duongsatvinhphu.com,3.8,-0.004,-0.025,0.774,1.2,1.2,CT,,,,
DTA,DTA,VNINDEX,8633,DN,CT,Công ty Cổ phần Đệ Tam,BĐS Đệ Tam,HOSE,BĐS Đệ Tam,336,8633,Bất động sản,Real Estate,2003,39,141,0.002,http://www.detamland.com,3.7,0.114,0.185,-0.348,18.1,18.1,CT,,,,
DTBMC,BDT,UpcomIndex,2353,DN,CT,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,VLXD Đồng Tháp,UPCOM,VLXD Đồng Tháp,180,2353,Xây dựng và Vật liệu,Construction & Materials,2010,513,446,0.001,http://www.dongthapbmc.vn,3.5,0.227,-0.183,-0.447,38.6,38.6,CT,,,,
DTC,DTC,HNXIndex,2353,DN,CT,Công ty Cổ phần Viglacera Đông Triều,Viglacera Đông Triều,HNX,Viglacera Đông Triều,180,2353,Xây dựng và Vật liệu,Construction & Materials,2004,697,299,0.017,http://viglaceradtc.com.vn,3.4,-0.004,0.035,-0.254,10,10,CT,,,,
DTE,DTE,UpcomIndex,7535,DN,CT,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,Đại Trường Thành Holdings,UPCOM,Đại Trường Thành Holdings,274,7535,"Điện, nước & xăng dầu khí đốt",Utilities,2016,0,310,0,http://www.dttholdings.com.vn,3.7,-0.023,-0.271,-0.555,50.7,50.7,CT,,,,
DTI,DTI,UpcomIndex,5753,DN,CT,Công ty Cổ phần Đầu tư Đức Trung,Đầu tư Đức Trung,UPCOM,Đầu tư Đức Trung,259,5753,Du lịch và Giải trí,Travel & Leisure,1994,19,152,0,http://www.ductrung.vn,4,-0.032,-0.16,-0.163,12.1,12.1,CT,,,,
DTL,DTL,VNINDEX,1757,DN,CT,Công ty Cổ phần Đại Thiên Lộc,Đại Thiên Lộc,HOSE,Đại Thiên Lộc,159,1757,Tài nguyên Cơ bản,Basic Resources,2001,311,310,0,http://daithienloc.com.vn/,3,-0.004,-0.009,0.032,60.6,61.4,CT,,,,
DTN,DTN,UpcomIndex,3767,DN,CT,Công ty Cổ phần Diêm Thống Nhất,Diêm Thống Nhất,UPCOM,Diêm Thống Nhất,228,3767,Hàng cá nhân & Gia dụng,Personal & Household Goods,1956,375,0,0,http://www.diemthongnhat.com.vn,3.8,,,,2.2,2.2,CT,,,,
DTT,DTT,VNINDEX,1353,DN,CT,Công ty Cổ phần Kỹ nghệ Đô Thành,Kỹ nghệ Đô Thành,HOSE,Kỹ nghệ Đô Thành,150,1353,Hóa chất,Chemicals,1994,206,753,0.002,http://www.dothanhtech.com,4.1,0.003,-0.01,0.393,8.2,8.2,CT,,,,
DTV,DTV,UpcomIndex,7535,DN,CT,Công ty Cổ phần Phát triển điện Trà Vinh,PT điện Nông thôn Trà Vinh,UPCOM,PT điện Nông thôn Trà Vinh,274,7535,"Điện, nước & xăng dầu khí đốt",Utilities,1996,181,120,0,http://www.diennongthontv.com,3.7,-0.004,-0.025,0.26,5.3,5.3,CT,,,,
DTVT,MTV,UpcomIndex,2799,DN,CT,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,Công trình đô thị Vũng Tàu,UPCOM,Công trình đô thị Vũng Tàu,199,2799,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2010,468,342,0.001,http://www.dothivungtau.com.vn,4.1,-0.027,0.122,0.041,5.4,5.4,CT,,,,
DUGRACO,MGG,UpcomIndex,3763,DN,CT,Tổng Công ty Đức Giang - Công ty Cổ phần,May Đức Giang,UPCOM,May Đức Giang,226,3763,Hàng cá nhân & Gia dụng,Personal & Household Goods,2005,471,508,0.001,http://www.mayducgiang.com.vn,3.3,0.018,-0.098,0.058,9,9,CT,,,,
DVC,DVC,UpcomIndex,7573,DN,CT,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,TM dịch vụ Cảng Hải Phòng,UPCOM,TM dịch vụ Cảng Hải Phòng,275,7573,"Điện, nước & xăng dầu khí đốt",Utilities,2000,224,257,0,http://www.dichvucang.com,3.3,0.143,0.688,0.118,10.8,10.8,CT,,,,
DVG,DVG,HNXIndex,2353,DN,CT,Công ty Cổ phần Tập đoàn Sơn Đại Việt,Tập đoàn Sơn Đại Việt,HNX,Tập đoàn Sơn Đại Việt,180,2353,Xây dựng và Vật liệu,Construction & Materials,2006,23,0,0.001,http://www.davipaint.com,3.7,0.272,0.398,-0.466,28,28,CT,,,,
DVP,DVP,VNINDEX,2777,DN,CT,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,ĐT và PT Cảng Đình Vũ,HOSE,ĐT và PT Cảng Đình Vũ,193,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2003,431,1836,0.115,http://www.dinhvuport.com.vn,4,-0.021,-0.003,0.127,40,40,CT,,,,
DVSG,DSG,UpcomIndex,2353,DN,CT,Công ty Cổ phần Kính Đáp Cầu,Kính Đáp Cầu,UPCOM,Kính Đáp Cầu,180,2353,Xây dựng và Vật liệu,Construction & Materials,2005,101,620,0.002,http://www.kinhdapcau.vn,3.2,-0.226,-0.416,-0.086,30,30,CT,,,,
DVW,DVW,UpcomIndex,2357,DN,CT,Công ty Cổ phần Dịch vụ và Xây dựng cấp nước Đồng Nai,DV và XD cấp nước Đồng Nai,UPCOM,DV và XD cấp nước Đồng Nai,181,2357,Xây dựng và Vật liệu,Construction & Materials,2008,120,111,0,http://www.dvxdcn.com,3.8,-0.004,-0.025,-0.081,2.3,2.3,CT,,,,
DXG,DXG,VNINDEX,8633,DN,CT,Công ty Cổ phần Tập đoàn Đất Xanh,Địa ốc Đất Xanh,HOSE,Địa ốc Đất Xanh,336,8633,Bất động sản,Real Estate,2007,418,39626,0.195,http://www.datxanh.com.vn,3.5,0.021,0.057,-0.301,610,611.8,CT,,,,
DXL,DXL,UpcomIndex,5753,DN,CT,Công ty Cổ phần Du lịch và Xuất nhập khẩu Lạng Sơn,Du lịch và Xuất nhập khẩu Lạng Sơn,UPCOM,Du lịch và Xuất nhập khẩu Lạng Sơn,259,5753,Du lịch và Giải trí,Travel & Leisure,2006,50,84,0.019,http://tocolimexlangson.com,4,0.405,1.042,0.356,4,4,CT,,,,
DXP,DXP,HNXIndex,2777,DN,CT,Công ty Cổ phần Cảng Đoạn Xá,Cảng Đoạn Xá,HNX,Cảng Đoạn Xá,193,2777,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2001,206,0,0.023,http://www.doanxaport.com.vn,4,0.19,0.182,-0.075,29.5,27.3,CT,,,,
DXRES,DXS,VNINDEX,8637,DN,CT,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Dịch vụ BĐS Đất Xanh,HOSE,Dịch vụ BĐS Đất Xanh,339,8637,Bất động sản,Real Estate,2011,7191,1653,0.184,https://datxanhservices.vn,3.8,0.082,0.099,-0.422,453.1,453.1,CT,,,,
DXV,DXV,VNINDEX,2353,DN,CT,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Vật liệu Xây dựng Đà Nẵng,HOSE,Vật liệu Xây dựng Đà Nẵng,180,2353,Xây dựng và Vật liệu,Construction & Materials,2006,250,578,0.007,http://coxiva.com.vn/,3.6,0.06,0.062,-0.117,9.9,9.9,CT,,,,
DZM,DZM,HNXIndex,2757,DN,CT,Công ty Cổ phần Cơ điện Dzĩ An,Cơ điện Dzĩ An,HNX,Cơ điện Dzĩ An,189,2757,Hàng & Dịch vụ Công nghiệp,Industrial Goods & Services,2001,86,0,0.097,http://www.dzima.com,3.5,-0.004,-0.025,-0.51,5.4,5.4,CT,,,,
E1SSHN30,FUESSV50,VNINDEX,8985,OTHER,QU,Quỹ ETF SSIAM VNX50,Quỹ ETF SSIAM VNX50,HOSE,Quỹ ETF SSIAM VNX50,302,8985,Dịch vụ tài chính,Financial Services,2014,0,0,0.572,http://www.ssi.com.vn/AssetManagement.aspx,5,0.051,-0.002,0.009,8.8,8.8,QU,,,,
